"pubDate","timestamp","title","description","link","rss-url","country","category","keyphrases","key_words"
"
        Sun, 18 Sep 2022 21:58:01 +0530
    ","1663518481.0","Behind newly deregistered political parties are changed addresses, unaware office-bearers","After the ECI ordered the deletion of 86 registered unrecognised political parties for being ‘non-existent’, some of the parties are untraceable, others claim they are still active","https://www.thehindu.com/news/national/behind-newly-deregistered-political-parties-are-changed-addresses-unaware-office-bearers/article65905741.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics","[]","set()"
"
        Sun, 18 Sep 2022 21:57:00 +0530
    ","1663518420.0","Nine-year-old finally gets a name","","https://www.thehindu.com/news/national/telangana/nine-year-old-finally-gets-a-name/article65907320.ece","http://www.thehindu.com/news/national/?service=rss","IN","general","[]","set()"
"
        Sun, 18 Sep 2022 21:57:00 +0530
    ","1663518420.0","Nine-year-old finally gets a name","","https://www.thehindu.com/news/national/telangana/nine-year-old-finally-gets-a-name/article65907320.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics","[]","set()"
"
        Sun, 18 Sep 2022 21:50:07 +0530
    ","1663518007.0","Collector describes CM as ‘Abhinava Ambedkar’","(Photo available by Arif)","https://www.thehindu.com/news/national/telangana/collector-describes-cm-as-abhinava-ambedkar/article65906769.ece","http://www.thehindu.com/news/national/?service=rss","IN","general","[]","set()"
"
        Sun, 18 Sep 2022 21:50:07 +0530
    ","1663518007.0","Collector describes CM as ‘Abhinava Ambedkar’","(Photo available by Arif)","https://www.thehindu.com/news/national/telangana/collector-describes-cm-as-abhinava-ambedkar/article65906769.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics","[]","set()"
"
        Sun, 18 Sep 2022 21:49:25 +0530
    ","1663517965.0","New brand of Telangana silk sarees unveiled in New Zealand","Kiwi Minister of Indian origin launches ‘Rajanna Siri-Pattu’ sarees made in Sircilla","https://www.thehindu.com/news/national/telangana/new-brand-of-telangana-silk-sarees-unveiled-in-new-zealand/article65906783.ece","http://www.thehindu.com/news/national/?service=rss","IN","general","[]","set()"
"
        Sun, 18 Sep 2022 21:49:25 +0530
    ","1663517965.0","New brand of Telangana silk sarees unveiled in New Zealand","Kiwi Minister of Indian origin launches ‘Rajanna Siri-Pattu’ sarees made in Sircilla","https://www.thehindu.com/news/national/telangana/new-brand-of-telangana-silk-sarees-unveiled-in-new-zealand/article65906783.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics","[]","set()"
"
        Sun, 18 Sep 2022 21:48:55 +0530
    ","1663517935.0","Will Priyanka participate in Bharat Jodo yatra in Mysuru region?","DKS says a “tall woman leader” of the Congress is likely to take part","https://www.thehindu.com/news/national/karnataka/will-priyanka-participate-in-bharat-jodo-yatra-in-mysuru-region/article65906766.ece","http://www.thehindu.com/news/national/?service=rss","IN","general","[]","set()"
"
        Sun, 18 Sep 2022 21:48:55 +0530
    ","1663517935.0","Will Priyanka participate in Bharat Jodo yatra in Mysuru region?","DKS says a “tall woman leader” of the Congress is likely to take part","https://www.thehindu.com/news/national/karnataka/will-priyanka-participate-in-bharat-jodo-yatra-in-mysuru-region/article65906766.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics","[]","set()"
"
        Sun, 18 Sep 2022 21:42:36 +0530
    ","1663517556.0","Eight new BJP MLAs from Goa to meet PM Modi on September 18","Six of them will leave on Sunday night; Michael Lobo and Digambar Kamat will follow later, said sources","https://www.thehindu.com/news/national/other-states/eight-new-bjp-mlas-from-goa-to-meet-pm-modi-on-september-18/article65906598.ece","http://www.thehindu.com/news/national/?service=rss","IN","general","[]","set()"
