"country","category","rss-url"
"US","gaming","http://feeds.ign.com/ign/all"
"US","gaming","http://feeds.feedburner.com/RockPaperShotgun"
"US","gaming","http://feeds.feedburner.com/VGChartz"
"US","gaming","http://toucharcade.com/feed/"
"US","gaming","http://www.engadget.com/tag/@gaming/rss.xml"
"US","gaming","http://www.giantbomb.com/feeds/mashup/"
"US","gaming","http://www.gamespot.com/feeds/mashup/"
"US","gaming","http://www.eurogamer.net/?format=rss"
"US","gaming","https://www.cheapassgamer.com/rss/forums/1-cheap-ass-gamer-video-game-deals-forum/"
"US","gaming","http://feeds.feedburner.com/Rpgcast"
"US","gaming","http://www.gamesradar.com/all-platforms/news/rss/"
"US","gaming","http://www.cnet.com/rss/gaming/"
"US","gaming","http://feeds.webservice.techradar.com/us/rss/news/gaming"
"US","gaming","http://rssfeeds.usatoday.com/topgaming"
"US","gaming","http://feeds.arstechnica.com/arstechnica/gaming"
"CA","general","http://www.journaldemontreal.com/rss.xml"
"CA","general","http://leaderpost.com/feed/"
"CA","general","http://thestarphoenix.com/feed/"
"CA","general","http://www.cbc.ca/cmlink/rss-canada"
"CA","general","http://www.ctvnews.ca/rss/ctvnews-ca-canada-public-rss-1.822284"
"CA","general","http://globalnews.ca/canada/feed/"
"CA","general","http://www.thestar.com/feeds.articles.news.canada.rss"
"CA","general","http://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml"
"CA","general","http://www.macleans.ca/feed/"
"CA","general","http://www.brandonsun.com/rss/?path=%2Fnational%2Fbreaking-news"
"CA","general","http://thewalrus.ca/feed/"
"CA","general","http://feeds.feedblitz.com/thetyee"
"CA","politics","http://backofthebook.ca/feed/rss/"
"CA","politics","http://feeds.feedburner.com/rabble-news?format=xml"
"CA","politics","http://www.hilltimes.com/feed"
"CA","politics","http://rss.cbc.ca/lineup/politics.xml"
"CA","politics","http://www.ctvnews.ca/rss/ctvnews-ca-politics-public-rss-1.822302"
"CA","politics","http://globalnews.ca/politics/feed/"
"CA","politics","http://globalnews.ca/politics/feed/"
"CA","politics","http://www.thestar.com/feeds.articles.news.canada.rss"
"CA","politics","http://www.macleans.ca/author/inklesswells/feed/"
"CA","politics","http://topics.nytimes.com/top/news/international/countriesandterritories/canada/index.html?rss=1"
"CA","business","http://rss.cbc.ca/lineup/business.xml"
"CA","business","http://feeds.feedburner.com/FP_TopStories?format=xml"
"CA","business","http://www.canadianbusiness.com/feed/"
