"pubDate","timestamp","title","description","link","rss-url","country","category"
"2022-09-19 13:56:21+05:30","1663575981.0","“Mahabali lived and ruled in the Narmada area”: Union Minister’s Onam statement draws ire in Kerala","“Mahabali is known to be a benevolent king and Vamanan is considered as a villain”, Mr. Muraleedharan added.","https://www.thehindu.com/news/national/kerala/union-minister-claims-mahabali-did-not-rule-kerala-cannot-be-associated-with-onam/article65909235.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 13:55:34+05:30","1663575934.0","Farmers plan Vidhana Soudha Chalo on September 26 against sugarcane FRP and Electricity Amendment Bill","The farmers will also be voicing their concern over the reported efforts by sugar mills to deny the farmers their rightful payment for supplying sugarcane","https://www.thehindu.com/news/national/karnataka/farmers-plan-vidhana-soudha-chalo-on-september-26-against-sugarcane-frp-and-electricity-amendment-bill/article65909286.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 13:55:34+05:30","1663575934.0","Farmers plan Vidhana Soudha Chalo on September 26 against sugarcane FRP and Electricity Amendment Bill","The farmers will also be voicing their concern over the reported efforts by sugar mills to deny the farmers their rightful payment for supplying sugarcane","https://www.thehindu.com/news/national/karnataka/farmers-plan-vidhana-soudha-chalo-on-september-26-against-sugarcane-frp-and-electricity-amendment-bill/article65909286.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 13:47:49+05:30","1663575469.0","Magunta Srinivasulu Reddy denies involvement in Delhi liquor scam","Magunta Srinivasulu Reddy also said he had never misused his political position to further his business interests","https://www.thehindu.com/news/national/andhra-pradesh/magunta-reddy-denies-involvement-in-delhi-liquor-scam/article65909265.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 13:47:49+05:30","1663575469.0","Magunta Srinivasulu Reddy denies involvement in Delhi liquor scam","Magunta Srinivasulu Reddy also said he had never misused his political position to further his business interests","https://www.thehindu.com/news/national/andhra-pradesh/magunta-reddy-denies-involvement-in-delhi-liquor-scam/article65909265.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 13:24:12+05:30","1663574052.0","Indian student succumbs to injuries sustained during shooting rampage in Canada","Satwinder Singh, who was injured in the shooting in Milton, died at the Hamilton General Hospital with his family and friends by his side, the Halton Regional Police Service said.","https://www.thehindu.com/news/international/indian-student-succumbs-to-injuries-sustained-during-shooting-rampage-in-canada/article65909027.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 13:24:12+05:30","1663574052.0","Indian student succumbs to injuries sustained during shooting rampage in Canada","Satwinder Singh, who was injured in the shooting in Milton, died at the Hamilton General Hospital with his family and friends by his side, the Halton Regional Police Service said.","https://www.thehindu.com/news/international/indian-student-succumbs-to-injuries-sustained-during-shooting-rampage-in-canada/article65909027.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 13:04:01+05:30","1663572841.0","Deputy Leader of Opposition in Odisha assembly Bishnu Charan Sethy passes away","The departed leader was admitted in intensive care unit for some days, but he finally died due to acute cardiac failure","https://www.thehindu.com/news/national/other-states/deputy-leader-of-opposition-in-odisha-assembly-bishnu-charan-sethy-passes-away/article65909178.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 13:04:01+05:30","1663572841.0","Deputy Leader of Opposition in Odisha assembly Bishnu Charan Sethy passes away","The departed leader was admitted in intensive care unit for some days, but he finally died due to acute cardiac failure","https://www.thehindu.com/news/national/other-states/deputy-leader-of-opposition-in-odisha-assembly-bishnu-charan-sethy-passes-away/article65909178.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 13:00:10+05:30","1663572610.0","Delhi excise policy row | AAP’s MCD poll in-charge Durgesh Pathak summoned by ED, claims Manish Sisodia","Mr. Sisodia questioned the summons to the AAP leader, and wondered whether the agency was targeting the liquor policy or MCD polls","https://www.thehindu.com/news/cities/Delhi/delhi-excise-policy-row-aaps-mcd-poll-in-charge-durgesh-pathak-summoned-by-ed-claims-manish-sisodia/article65909241.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
